Meas. m/z,#,Ion Formula,Score,m/z,err [ppm],Mean err [ppm],mSigma,rdb,e¯ Conf,N-Rule,H/C,KM [CH2],KMD [CH2],I,N/C,NKM [CH2],O/C,O/N,S/C
156.187229,1,C11H24,100,156.187252,0.2,0.1,8.1,0.5,odd,ok,2.182,156.012829,-0.012829,17884712,0,156,0,0,0
,1,C11H24,100,156.187252,0.2,0.1,8.1,0.5,odd,ok,2.182,156.012829,-0.012829,,0,156,0,0,0
,1,C11H24,100,156.187252,0.2,0.1,8.1,0.5,odd,ok,2.182,156.012829,-0.012829,,0,156,0,0,0
,1,C11H24,100,156.187252,0.2,0.1,8.1,0.5,odd,ok,2.182,156.012829,-0.012829,,0,156,0,0,0
,1,C11H24,100,156.187252,0.2,0.1,8.1,0.5,odd,ok,2.182,156.012829,-0.012829,,0,156,0,0,0
,1,C11H24,100,156.187252,0.2,0.1,8.1,0.5,odd,ok,2.182,156.012829,-0.012829,,0,156,0,0,0
157.195081,1,C11H25,100,157.195077,0,0,19.7,0,even,ok,2.273,157.019555,-0.019555,3063304,0,157,0,0,0
,1,C11H25,100,157.195077,0,0,19.7,0,even,ok,2.273,157.019555,-0.019555,,0,157,0,0,0
,1,C11H25,100,157.195077,0,0,19.7,0,even,ok,2.273,157.019555,-0.019555,,0,157,0,0,0
,1,C11H25,100,157.195077,0,0,19.7,0,even,ok,2.273,157.019555,-0.019555,,0,157,0,0,0
,1,C11H25,100,157.195077,0,0,19.7,0,even,ok,2.273,157.019555,-0.019555,,0,157,0,0,0
,1,C11H25,100,157.195077,0,0,19.7,0,even,ok,2.273,157.019555,-0.019555,,0,157,0,0,0
158.190323,1,C10H24N,100,158.190326,0,0,n.a.,0,even,ok,2.4,158.013686,-0.013686,420208,0.1,158,0,0,0
,1,C10H24N,100,158.190326,0,0,n.a.,0,even,ok,2.4,158.013686,-0.013686,,0.1,158,0,0,0
,1,C10H24N,100,158.190326,0,0,n.a.,0,even,ok,2.4,158.013686,-0.013686,,0.1,158,0,0,0
,1,C10H24N,100,158.190326,0,0,n.a.,0,even,ok,2.4,158.013686,-0.013686,,0.1,158,0,0,0
,1,C10H24N,100,158.190326,0,0,n.a.,0,even,ok,2.4,158.013686,-0.013686,,0.1,158,0,0,0
,1,C10H24N,100,158.190326,0,0,n.a.,0,even,ok,2.4,158.013686,-0.013686,,0.1,158,0,0,0
,1,C10H24N,100,158.190326,0,0,n.a.,0,even,ok,2.4,158.013686,-0.013686,,0.1,158,0,0,0
159.174338,1,C10H23O,100,159.174342,0,0,n.a.,0,even,ok,2.3,158.996602,0.003398,541572,0,159,0.1,0,0
,1,C10H23O,100,159.174342,0,0,n.a.,0,even,ok,2.3,158.996602,0.003398,,0,159,0.1,0,0
,1,C10H23O,100,159.174342,0,0,n.a.,0,even,ok,2.3,158.996602,0.003398,,0,159,0.1,0,0
,1,C10H23O,100,159.174342,0,0,n.a.,0,even,ok,2.3,158.996602,0.003398,,0,159,0.1,0,0
,1,C10H23O,100,159.174342,0,0,n.a.,0,even,ok,2.3,158.996602,0.003398,,0,159,0.1,0,0
,1,C10H23O,100,159.174342,0,0,n.a.,0,even,ok,2.3,158.996602,0.003398,,0,159,0.1,0,0
161.135855,1,C9H21S,100,161.135848,0,0,n.a.,2,even,ok,2.333,160.955929,0.044071,787986,0,161,0,0,0.111
,1,C9H21S,100,161.135848,0,0,n.a.,2,even,ok,2.333,160.955929,0.044071,,0,161,0,0,0.111
,1,C9H21S,100,161.135848,0,0,n.a.,2,even,ok,2.333,160.955929,0.044071,,0,161,0,0,0.111
,1,C9H21S,100,161.135848,0,0,n.a.,2,even,ok,2.333,160.955929,0.044071,,0,161,0,0,0.111
,1,C9H21S,100,161.135848,0,0,n.a.,2,even,ok,2.333,160.955929,0.044071,,0,161,0,0,0.111
,1,C9H21S,100,161.135848,0,0,n.a.,2,even,ok,2.333,160.955929,0.044071,,0,161,0,0,0.111
162.143661,1,C9H22S,100,162.143673,0.1,0,n.a.,1.5,odd,ok,2.444,161.96261,0.03739,1075894,0,162,0,0,0.111
,1,C9H22S,100,162.143673,0.1,0,n.a.,1.5,odd,ok,2.444,161.96261,0.03739,,0,162,0,0,0.111
,1,C9H22S,100,162.143673,0.1,0,n.a.,1.5,odd,ok,2.444,161.96261,0.03739,,0,162,0,0,0.111
,1,C9H22S,100,162.143673,0.1,0,n.a.,1.5,odd,ok,2.444,161.96261,0.03739,,0,162,0,0,0.111
,1,C9H22S,100,162.143673,0.1,0,n.a.,1.5,odd,ok,2.444,161.96261,0.03739,,0,162,0,0,0.111
,1,C9H22S,100,162.143673,0.1,0,n.a.,1.5,odd,ok,2.444,161.96261,0.03739,,0,162,0,0,0.111
165.163777,1,C12H21,100,165.163777,0,-0.1,20.2,3,even,ok,1.75,164.979354,0.020646,4902648,0,165,0,0,0
,1,C12H21,100,165.163777,0,-0.1,20.2,3,even,ok,1.75,164.979354,0.020646,,0,165,0,0,0
,1,C12H21,100,165.163777,0,-0.1,20.2,3,even,ok,1.75,164.979354,0.020646,,0,165,0,0,0
,1,C12H21,100,165.163777,0,-0.1,20.2,3,even,ok,1.75,164.979354,0.020646,,0,165,0,0,0
,1,C12H21,100,165.163777,0,-0.1,20.2,3,even,ok,1.75,164.979354,0.020646,,0,165,0,0,0
,1,C12H21,100,165.163777,0,-0.1,20.2,3,even,ok,1.75,164.979354,0.020646,,0,165,0,0,0
,1,C12H21,100,165.163777,0,-0.1,20.2,3,even,ok,1.75,164.979354,0.020646,,0,165,0,0,0
166.171573,1,C12H22,100,166.171602,0.2,0.1,23.2,2.5,odd,ok,1.833,165.986025,0.013975,3753640,0,166,0,0,0
,1,C12H22,100,166.171602,0.2,0.1,23.2,2.5,odd,ok,1.833,165.986025,0.013975,,0,166,0,0,0
,1,C12H22,100,166.171602,0.2,0.1,23.2,2.5,odd,ok,1.833,165.986025,0.013975,,0,166,0,0,0
,1,C12H22,100,166.171602,0.2,0.1,23.2,2.5,odd,ok,1.833,165.986025,0.013975,,0,166,0,0,0
,1,C12H22,100,166.171602,0.2,0.1,23.2,2.5,odd,ok,1.833,165.986025,0.013975,,0,166,0,0,0
,1,C12H22,100,166.171602,0.2,0.1,23.2,2.5,odd,ok,1.833,165.986025,0.013975,,0,166,0,0,0
,1,C12H22,100,166.171602,0.2,0.1,23.2,2.5,odd,ok,1.833,165.986025,0.013975,,0,166,0,0,0
167.179427,1,C12H23,100,167.179427,0,0,14,2,even,ok,1.917,166.992753,0.007247,6141381,0,167,0,0,0
,1,C12H23,100,167.179427,0,0,14,2,even,ok,1.917,166.992753,0.007247,,0,167,0,0,0
,1,C12H23,100,167.179427,0,0,14,2,even,ok,1.917,166.992753,0.007247,,0,167,0,0,0
,1,C12H23,100,167.179427,0,0,14,2,even,ok,1.917,166.992753,0.007247,,0,167,0,0,0
,1,C12H23,100,167.179427,0,0,14,2,even,ok,1.917,166.992753,0.007247,,0,167,0,0,0
,1,C12H23,100,167.179427,0,0,14,2,even,ok,1.917,166.992753,0.007247,,0,167,0,0,0
,1,C12H23,100,167.179427,0,0,14,2,even,ok,1.917,166.992753,0.007247,,0,167,0,0,0
168.187225,1,C12H24,100,168.187252,0.2,0.1,18.2,1.5,odd,ok,2,167.999426,0.000574,8188719,0,168,0,0,0
,1,C12H24,100,168.187252,0.2,0.1,18.2,1.5,odd,ok,2,167.999426,0.000574,,0,168,0,0,0
,1,C12H24,100,168.187252,0.2,0.1,18.2,1.5,odd,ok,2,167.999426,0.000574,,0,168,0,0,0
,1,C12H24,100,168.187252,0.2,0.1,18.2,1.5,odd,ok,2,167.999426,0.000574,,0,168,0,0,0
,1,C12H24,100,168.187252,0.2,0.1,18.2,1.5,odd,ok,2,167.999426,0.000574,,0,168,0,0,0
,1,C12H24,100,168.187252,0.2,0.1,18.2,1.5,odd,ok,2,167.999426,0.000574,,0,168,0,0,0
169.158653,1,C11H21O,100,169.158692,0.2,0.1,n.a.,2,even,ok,1.909,168.969769,0.030231,536448,0,169,0.091,0,0
,1,C11H21O,100,169.158692,0.2,0.1,n.a.,2,even,ok,1.909,168.969769,0.030231,,0,169,0.091,0,0
,1,C11H21O,100,169.158692,0.2,0.1,n.a.,2,even,ok,1.909,168.969769,0.030231,,0,169,0.091,0,0
,1,C11H21O,100,169.158692,0.2,0.1,n.a.,2,even,ok,1.909,168.969769,0.030231,,0,169,0.091,0,0
,1,C11H21O,100,169.158692,0.2,0.1,n.a.,2,even,ok,1.909,168.969769,0.030231,,0,169,0.091,0,0
,1,C11H21O,100,169.158692,0.2,0.1,n.a.,2,even,ok,1.909,168.969769,0.030231,,0,169,0.091,0,0
169.195058,1,C12H25,100,169.195077,0.1,0.1,15.9,1,even,ok,2.083,169.006133,-0.006133,23705628,0,169,0,0,0
,1,C12H25,100,169.195077,0.1,0.1,15.9,1,even,ok,2.083,169.006133,-0.006133,,0,169,0,0,0
,1,C12H25,100,169.195077,0.1,0.1,15.9,1,even,ok,2.083,169.006133,-0.006133,,0,169,0,0,0
,1,C12H25,100,169.195077,0.1,0.1,15.9,1,even,ok,2.083,169.006133,-0.006133,,0,169,0,0,0
,1,C12H25,100,169.195077,0.1,0.1,15.9,1,even,ok,2.083,169.006133,-0.006133,,0,169,0,0,0
,1,C12H25,100,169.195077,0.1,0.1,15.9,1,even,ok,2.083,169.006133,-0.006133,,0,169,0,0,0
,1,C12H25,100,169.195077,0.1,0.1,15.9,1,even,ok,2.083,169.006133,-0.006133,,0,169,0,0,0
,1,C12H25,100,169.195077,0.1,0.1,15.9,1,even,ok,2.083,169.006133,-0.006133,,0,169,0,0,0
