Meas. m/z,#,Ion Formula,Score,m/z,err [ppm],Mean err [ppm],mSigma,rdb,e¯ Conf,N-Rule,KM [CH2],KMD [CH2],NKM [CH2],I,H/C,N/C,O/C,O/N,S/C,rdb
153.163679,1,C11H21,100,153.163777,0.6,0.4,n.a.,2,even,ok,152.992655,0.007345,153,610831,1.909,0,0,0,0,2
,1,C11H21,100,153.163777,0.6,0.4,n.a.,2,even,ok,152.992655,0.007345,153,,1.909,0,0,0,0,2
,1,C11H21,100,153.163777,0.6,0.4,n.a.,2,even,ok,152.992655,0.007345,153,,1.909,0,0,0,0,2
,1,C11H21,100,153.163777,0.6,0.4,n.a.,2,even,ok,152.992655,0.007345,153,,1.909,0,0,0,0,2
,1,C11H21,100,153.163777,0.6,0.4,n.a.,2,even,ok,152.992655,0.007345,153,,1.909,0,0,0,0,2
,1,C11H21,100,153.163777,0.6,0.4,n.a.,2,even,ok,152.992655,0.007345,153,,1.909,0,0,0,0,2
155.179417,1,C11H23,100,155.179427,0.1,0.1,38.5,1,even,ok,155.006143,-0.006143,155,22626292,2.091,0,0,0,0,1
,1,C11H23,100,155.179427,0.1,0.1,38.5,1,even,ok,155.006143,-0.006143,155,,2.091,0,0,0,0,1
,1,C11H23,100,155.179427,0.1,0.1,38.5,1,even,ok,155.006143,-0.006143,155,,2.091,0,0,0,0,1
,1,C11H23,100,155.179427,0.1,0.1,38.5,1,even,ok,155.006143,-0.006143,155,,2.091,0,0,0,0,1
,1,C11H23,100,155.179427,0.1,0.1,38.5,1,even,ok,155.006143,-0.006143,155,,2.091,0,0,0,0,1
,1,C11H23,100,155.179427,0.1,0.1,38.5,1,even,ok,155.006143,-0.006143,155,,2.091,0,0,0,0,1
156.187224,1,C11H24,100,156.187252,0.2,0.2,60.4,0.5,odd,ok,156.012824,-0.012824,156,82512056,2.182,0,0,0,0,0.5
,1,C11H24,100,156.187252,0.2,0.2,60.4,0.5,odd,ok,156.012824,-0.012824,156,,2.182,0,0,0,0,0.5
,1,C11H24,100,156.187252,0.2,0.2,60.4,0.5,odd,ok,156.012824,-0.012824,156,,2.182,0,0,0,0,0.5
,1,C11H24,100,156.187252,0.2,0.2,60.4,0.5,odd,ok,156.012824,-0.012824,156,,2.182,0,0,0,0,0.5
,1,C11H24,100,156.187252,0.2,0.2,60.4,0.5,odd,ok,156.012824,-0.012824,156,,2.182,0,0,0,0,0.5
,1,C11H24,100,156.187252,0.2,0.2,60.4,0.5,odd,ok,156.012824,-0.012824,156,,2.182,0,0,0,0,0.5
157.195086,1,C11H25,100,157.195077,-0.1,0,n.a.,0,even,ok,157.01956,-0.01956,157,1440880,2.273,0,0,0,0,0
,1,C11H25,100,157.195077,-0.1,0,n.a.,0,even,ok,157.01956,-0.01956,157,,2.273,0,0,0,0,0
,1,C11H25,100,157.195077,-0.1,0,n.a.,0,even,ok,157.01956,-0.01956,157,,2.273,0,0,0,0,0
,1,C11H25,100,157.195077,-0.1,0,n.a.,0,even,ok,157.01956,-0.01956,157,,2.273,0,0,0,0,0
,1,C11H25,100,157.195077,-0.1,0,n.a.,0,even,ok,157.01956,-0.01956,157,,2.273,0,0,0,0,0
,1,C11H25,100,157.195077,-0.1,0,n.a.,0,even,ok,157.01956,-0.01956,157,,2.273,0,0,0,0,0
158.190321,1,C10H24N,100,158.190326,0,0,n.a.,0,even,ok,158.013684,-0.013684,158,1550999,2.4,0.1,0,0,0,0
,1,C10H24N,100,158.190326,0,0,n.a.,0,even,ok,158.013684,-0.013684,158,,2.4,0.1,0,0,0,0
